Timestamp,Velocidade de produção (m/min),Tensão da corda (N),Torque do motor (Nm),Comprimento da corda (m),Espessura/diâmetro da corda (mm),Torção (twist) (voltas/m),Homogeneidade (score 0-100),Alinhamento de fios (score 0-100),Temperatura (°C),Umidade (%),Vibração de motores (mm/s),Consumo de energia (kWh),Estado de sensores e atuadores,Paradas de emergência,Coberturas ou proteções abertas,Alarmes e falhas
2025-08-07 00:22:00,50.14,197.91,29.15,19.1,10.19,5.09,97.8,98.8,25.11,60.96,0.47,1.69,OK,Não,Não,OK
2025-08-07 00:23:00,47.15,191.49,30.49,19.88,10.1,5.42,100.0,99.66,27.02,58.04,0.4,1.56,OK,Não,Não,OK
2025-08-07 00:24:00,48.91,194.19,27.72,20.7,9.93,4.97,97.99,97.68,27.85,59.23,0.53,1.69,OK,Não,Não,OK
2025-08-07 00:25:00,50.22,205.89,31.13,21.53,10.0,5.12,96.88,98.86,25.98,57.32,0.5,1.52,OK,Não,Não,OK
2025-08-07 00:26:00,47.7,216.7,29.38,22.33,10.0,4.98,97.94,97.02,23.53,64.68,0.63,1.49,OK,Não,Não,OK
2025-08-07 00:27:00,50.75,203.95,28.3,23.17,9.84,5.39,97.95,97.31,24.74,62.46,0.37,1.46,OK,Não,Não,OK
2025-08-07 00:28:00,48.8,188.04,29.32,23.99,9.91,4.65,98.16,98.38,25.39,63.32,0.54,1.48,OK,Não,Não,OK
2025-08-07 00:29:00,49.42,204.45,31.89,24.81,9.94,5.02,98.66,98.8,24.39,62.43,0.56,1.49,OK,Não,Não,OK
2025-08-07 00:30:00,48.8,211.97,29.2,25.63,9.8,4.67,96.96,99.12,24.58,58.67,0.51,1.43,OK,Não,Não,OK
2025-08-07 00:31:00,53.7,193.9,30.54,26.52,10.0,4.5,99.69,99.57,24.89,56.93,0.3,1.44,OK,Não,Não,OK
2025-08-07 00:32:00,49.97,198.66,28.9,27.35,9.98,5.06,98.25,97.93,26.16,59.15,0.54,1.56,OK,Não,Não,OK
2025-08-07 00:33:00,47.88,200.15,31.14,28.15,9.83,5.03,98.73,99.19,25.8,60.95,0.43,1.45,OK,Não,Não,OK
2025-08-07 00:34:00,51.65,192.15,31.03,29.01,10.04,4.94,97.37,97.66,24.08,59.42,0.33,1.33,OK,Não,Não,OK
2025-08-07 00:35:00,47.56,206.48,32.77,29.8,10.07,4.98,99.29,98.9,25.89,55.53,0.54,1.32,OK,Não,Não,OK
2025-08-07 00:36:00,50.42,198.79,29.74,30.64,10.02,5.62,97.74,98.21,27.59,61.49,0.58,1.29,OK,Não,Não,OK
2025-08-07 00:37:00,46.08,204.2,31.0,31.41,9.97,4.95,98.28,98.45,22.73,56.8,0.44,1.36,OK,Não,Não,OK
2025-08-07 00:38:00,47.34,191.13,30.15,32.2,10.06,5.1,97.07,98.42,24.34,59.16,0.58,1.38,OK,Não,Não,OK
2025-08-07 00:39:00,50.39,195.63,31.94,33.04,10.07,4.87,97.0,96.4,24.23,63.49,0.58,1.4,OK,Não,Não,OK
2025-08-07 00:40:00,51.48,207.22,28.92,33.9,10.03,5.06,98.69,96.88,25.12,60.1,0.5,1.53,Falha,Não,Não,Alerta: Falha de Sensor
2025-08-07 00:41:00,50.34,196.27,31.12,34.74,9.92,4.95,97.56,98.1,22.26,62.15,0.56,1.37,OK,Não,Não,OK
2025-08-07 00:42:00,49.77,217.27,29.71,35.57,10.03,4.92,97.15,96.31,27.04,60.69,0.6,1.41,OK,Não,Não,OK
2025-08-07 00:43:00,49.4,196.0,29.9,36.39,10.12,5.36,97.36,98.83,25.07,57.98,0.55,1.32,OK,Não,Não,OK
2025-08-07 00:44:00,47.04,202.25,30.14,37.18,9.94,5.24,98.7,98.87,25.45,61.46,0.27,1.43,OK,Não,Não,OK
2025-08-07 00:45:00,48.56,209.33,30.38,37.98,10.21,5.03,97.37,98.33,25.27,59.87,1.86,2.08,OK,Não,Não,Alerta: Vibração Alta
2025-08-07 00:46:00,49.08,185.82,29.83,38.8,9.95,4.54,97.88,96.88,24.23,57.03,0.61,1.5,OK,Não,Não,OK
2025-08-07 00:47:00,52.11,182.39,30.32,39.67,10.0,4.93,98.02,99.38,26.05,56.69,0.43,1.51,OK,Não,Não,OK
2025-08-07 00:48:00,50.69,184.74,32.37,40.52,9.93,5.54,96.08,100.0,25.01,60.77,0.45,1.5,OK,Não,Não,OK
2025-08-07 00:49:00,46.47,212.63,31.48,41.29,10.02,4.95,96.53,98.15,21.87,64.28,0.69,1.37,OK,Não,Não,OK
2025-08-07 00:50:00,50.65,194.48,31.3,42.13,9.83,5.22,98.34,98.51,24.84,57.85,0.43,1.46,OK,Não,Não,OK
2025-08-07 00:51:00,49.23,225.58,29.32,42.96,9.95,5.29,97.26,98.2,24.58,58.09,0.49,1.52,OK,Não,Não,OK
2025-08-07 00:52:00,48.65,194.36,28.67,43.77,9.89,5.04,99.06,98.53,26.05,60.8,0.5,1.6,OK,Não,Não,OK
2025-08-07 00:53:00,51.22,201.85,31.43,44.62,10.01,4.83,98.97,97.88,29.05,57.37,1.03,2.37,OK,Não,Não,Alerta: Vibração Alta
2025-08-07 00:54:00,52.06,215.42,31.31,45.49,10.1,4.51,98.72,97.97,25.57,64.71,0.63,1.59,OK,Não,Não,OK
2025-08-07 00:55:00,51.86,220.06,32.21,46.35,10.06,5.14,99.82,98.91,28.18,58.27,0.46,1.39,OK,Não,Não,OK
2025-08-07 00:56:00,48.32,220.62,29.09,47.16,9.76,4.84,97.92,100.0,23.97,59.0,0.57,1.35,OK,Não,Não,OK
2025-08-07 00:57:00,49.38,212.08,29.66,47.98,10.2,5.04,98.65,96.6,24.07,58.39,0.51,1.32,OK,Não,Não,OK
2025-08-07 00:58:00,50.66,210.24,27.54,48.82,10.03,4.75,97.42,97.9,24.63,61.87,0.6,1.58,OK,Não,Não,OK
2025-08-07 00:59:00,51.95,205.93,29.41,49.69,9.92,4.95,100.0,96.82,25.64,64.32,0.36,1.36,OK,Não,Não,OK
2025-08-07 01:00:00,49.04,207.78,31.49,50.51,10.02,5.01,99.98,99.59,24.04,58.59,0.27,1.61,OK,Não,Não,OK
2025-08-07 01:01:00,49.63,194.49,29.3,51.33,10.02,5.05,98.01,97.41,22.58,61.73,0.5,1.46,OK,Não,Não,OK
2025-08-07 01:02:00,47.79,191.82,30.96,52.13,9.93,4.78,98.39,96.56,25.03,57.39,0.42,1.67,OK,Não,Não,OK
2025-08-07 01:03:00,47.61,199.97,29.71,52.92,10.02,5.24,99.36,98.64,23.29,61.92,0.65,1.46,OK,Não,Não,OK
2025-08-07 01:04:00,51.63,198.3,30.49,53.79,9.94,4.88,97.85,99.74,26.67,63.52,0.49,1.46,OK,Não,Não,OK
2025-08-07 01:05:00,52.71,195.47,28.28,54.66,9.96,4.67,97.34,98.66,25.97,62.9,0.52,1.51,OK,Não,Não,OK
2025-08-07 01:06:00,49.86,206.96,30.13,55.49,9.93,4.98,98.87,98.2,23.86,60.27,0.47,1.46,OK,Não,Não,OK
2025-08-07 01:07:00,52.01,209.55,25.51,56.36,9.86,5.01,98.08,98.41,25.68,57.93,0.43,1.54,OK,Não,Não,OK
2025-08-07 01:08:00,50.72,200.88,29.72,57.21,10.01,5.03,98.18,99.41,24.18,60.0,0.51,1.4,OK,Não,Não,OK
2025-08-07 01:09:00,48.71,214.78,27.55,58.02,10.06,5.27,97.17,97.13,24.92,59.38,0.6,1.52,OK,Não,Não,OK
2025-08-07 01:10:00,50.72,188.58,31.81,58.86,10.05,4.95,96.28,97.89,24.94,59.11,0.47,1.42,OK,Não,Não,OK
2025-08-07 01:11:00,53.08,198.06,31.17,59.75,10.08,4.98,98.24,97.55,24.5,60.41,0.46,1.48,OK,Não,Não,OK
2025-08-07 01:12:00,49.93,192.83,30.7,60.58,10.03,4.78,98.9,96.83,26.25,59.87,0.58,1.36,OK,Não,Não,OK
2025-08-07 01:13:00,53.13,181.33,32.28,61.47,9.95,5.16,97.77,97.67,23.32,61.42,0.33,1.59,OK,Não,Não,OK
2025-08-07 01:14:00,44.76,199.17,28.58,62.21,10.08,5.04,99.44,99.11,25.81,61.43,0.62,1.46,OK,Não,Não,OK
2025-08-07 01:15:00,51.64,198.78,32.62,63.07,9.86,4.92,97.3,98.57,25.46,59.87,0.42,1.59,OK,Não,Não,OK
2025-08-07 01:16:00,50.17,215.13,31.4,63.91,9.91,4.62,96.95,98.64,22.89,60.86,0.59,1.43,OK,Não,Não,OK
2025-08-07 01:17:00,49.4,206.31,29.65,64.73,9.9,5.29,97.93,98.15,23.81,62.64,0.53,1.5,OK,Não,Não,OK
2025-08-07 01:18:00,50.18,189.76,31.7,65.57,10.11,4.75,97.92,98.52,23.36,58.94,0.29,1.59,OK,Não,Não,OK
2025-08-07 01:19:00,46.02,218.54,28.34,66.34,10.09,4.88,98.77,97.2,24.45,60.03,0.5,1.38,OK,Não,Não,OK
2025-08-07 01:20:00,49.56,212.21,28.76,67.16,10.05,5.07,97.23,97.69,25.07,57.94,0.63,1.41,OK,Não,Não,OK
2025-08-07 01:21:00,50.71,205.82,29.09,68.01,10.11,4.76,99.37,98.19,23.61,60.96,0.47,1.58,OK,Não,Não,OK
2025-08-07 01:22:00,52.96,197.74,29.21,68.89,9.91,4.7,99.97,98.28,26.45,60.4,0.48,1.63,OK,Não,Não,OK
2025-08-07 01:23:00,48.96,190.41,28.42,69.71,10.03,4.58,97.96,98.32,26.59,60.92,0.42,1.5,OK,Não,Não,OK
2025-08-07 01:24:00,48.38,196.28,31.83,70.51,9.99,5.14,99.25,97.86,26.85,58.02,0.62,1.4,OK,Não,Não,OK
2025-08-07 01:25:00,49.0,210.89,29.61,71.33,10.08,4.89,96.94,97.62,20.92,61.53,0.45,1.47,OK,Não,Não,OK
2025-08-07 01:26:00,51.83,218.85,30.53,72.19,9.99,5.59,99.08,100.0,27.92,60.2,0.68,1.7,OK,Não,Não,OK
2025-08-07 01:27:00,50.66,215.43,29.14,73.04,9.96,4.8,99.05,98.91,25.25,62.06,0.62,1.37,OK,Não,Não,OK
2025-08-07 01:28:00,48.94,195.11,27.27,73.85,10.05,4.82,98.86,98.41,25.07,59.12,0.63,1.55,OK,Não,Não,OK
2025-08-07 01:29:00,51.03,188.8,30.41,74.7,10.09,4.89,97.98,97.77,24.85,61.36,0.51,1.51,OK,Não,Não,OK
2025-08-07 01:30:00,50.19,201.41,27.13,75.54,9.93,5.05,95.05,97.55,23.02,60.89,0.45,1.38,OK,Não,Não,OK
2025-08-07 01:31:00,51.94,182.32,29.9,76.41,9.99,4.91,97.36,97.87,25.54,63.05,0.55,1.47,OK,Não,Não,OK
2025-08-07 01:32:00,48.6,203.23,27.95,77.22,9.89,5.12,97.37,98.29,27.42,59.77,0.66,1.32,OK,Não,Não,OK
2025-08-07 01:33:00,49.34,198.52,32.98,78.04,9.75,4.8,97.02,96.12,25.23,58.89,0.68,1.53,OK,Não,Não,OK
2025-08-07 01:34:00,49.22,195.34,31.37,78.86,10.02,4.72,98.12,96.43,23.33,59.01,0.31,1.54,OK,Não,Não,OK
2025-08-07 01:35:00,47.07,184.05,30.16,79.64,10.06,4.64,97.58,97.36,22.71,57.78,0.77,1.36,OK,Não,Não,OK
2025-08-07 01:36:00,50.59,205.14,31.9,80.49,10.03,4.56,97.18,98.21,24.56,58.99,0.53,1.56,OK,Não,Não,OK
2025-08-07 01:37:00,50.52,194.67,28.73,81.33,9.81,4.9,96.94,97.76,23.88,55.32,0.58,1.43,OK,Não,Não,OK
2025-08-07 01:38:00,50.01,188.3,30.82,82.16,9.96,4.94,97.28,99.48,26.05,62.74,0.41,1.42,OK,Não,Não,OK
2025-08-07 01:39:00,49.53,171.28,30.3,82.99,9.78,4.87,99.12,96.52,27.06,63.87,0.4,1.4,OK,Não,Não,OK
2025-08-07 01:40:00,47.17,199.72,30.4,83.77,10.14,5.25,97.34,97.25,25.7,59.7,0.36,1.57,OK,Não,Não,OK
2025-08-07 01:41:00,49.16,217.72,31.91,84.59,9.89,5.25,97.49,99.52,24.87,60.88,0.67,1.33,OK,Não,Não,OK
2025-08-07 01:42:00,49.31,216.61,31.1,85.41,10.13,4.93,97.54,98.13,24.8,60.33,0.43,1.34,OK,Não,Não,OK
2025-08-07 01:43:00,48.4,195.43,30.43,86.22,10.09,4.64,98.34,98.88,25.11,57.37,0.49,1.44,OK,Não,Não,OK
2025-08-07 01:44:00,49.68,193.98,27.52,87.05,9.91,4.89,98.46,100.0,23.26,62.05,0.47,1.44,OK,Não,Não,OK
2025-08-07 01:45:00,50.81,204.69,28.56,87.9,9.89,4.88,94.96,97.31,25.9,62.35,0.4,1.56,OK,Não,Não,OK
2025-08-07 01:46:00,53.77,190.02,29.82,88.79,10.04,4.87,99.02,97.9,23.38,57.92,0.48,1.49,OK,Não,Não,OK
2025-08-07 01:47:00,50.35,203.02,30.14,89.63,9.92,4.86,99.44,97.73,26.67,60.66,0.51,1.49,OK,Não,Não,OK
2025-08-07 01:48:00,50.52,207.66,28.3,90.47,10.01,4.87,96.95,96.05,24.46,59.47,0.62,1.34,OK,Não,Não,OK
2025-08-07 01:49:00,49.85,212.27,33.62,91.3,9.95,4.92,97.03,97.69,26.25,62.38,0.39,1.48,OK,Não,Não,OK
2025-08-07 01:50:00,46.16,199.0,32.27,92.07,9.82,4.87,97.55,98.88,22.79,59.83,0.44,1.26,OK,Não,Não,OK
2025-08-07 01:51:00,49.95,197.96,30.9,92.91,9.78,5.04,97.24,98.54,26.24,59.89,0.56,1.52,OK,Não,Não,OK
2025-08-07 01:52:00,50.12,191.22,30.11,93.74,10.02,5.07,98.22,98.62,27.04,63.64,0.5,1.57,OK,Não,Não,OK
2025-08-07 01:53:00,54.93,191.73,29.68,94.66,9.94,4.82,96.05,97.62,23.08,57.43,0.51,1.42,OK,Não,Não,OK
2025-08-07 01:54:00,49.62,197.74,28.57,95.48,9.94,5.25,96.88,97.34,24.83,60.5,0.4,1.54,OK,Não,Não,OK
2025-08-07 01:55:00,50.6,203.67,30.12,96.33,10.07,4.8,99.54,99.27,25.5,60.18,0.58,1.46,OK,Não,Não,OK
2025-08-07 01:56:00,49.93,209.14,30.39,97.16,10.12,4.68,97.07,97.5,25.58,58.79,0.64,1.62,OK,Não,Não,OK
2025-08-07 01:57:00,47.66,191.97,28.14,97.95,9.97,5.08,99.24,98.29,24.49,64.08,0.63,1.52,OK,Não,Não,OK
2025-08-07 01:58:00,52.29,214.93,30.5,98.82,9.97,4.84,98.36,98.16,24.23,60.67,0.48,1.4,OK,Não,Não,OK
2025-08-07 01:59:00,51.5,197.29,29.77,99.68,10.05,5.06,96.19,99.46,25.38,61.34,1.31,2.17,OK,Não,Não,Alerta: Vibração Alta
2025-08-07 02:00:00,51.58,199.79,27.14,100.54,9.86,4.52,98.64,98.97,25.53,61.63,0.52,1.58,OK,Não,Não,OK
2025-08-07 02:01:00,48.18,192.53,28.71,101.35,10.02,5.28,97.88,96.7,24.06,59.36,0.51,1.46,OK,Não,Não,OK
2025-08-07 02:02:00,52.81,175.76,29.38,102.23,10.06,5.13,97.54,96.81,23.76,62.48,0.4,1.55,OK,Não,Não,OK
2025-08-07 02:03:00,47.2,208.84,32.83,103.01,10.07,4.7,98.24,98.58,26.82,62.08,0.42,1.55,OK,Não,Não,OK
2025-08-07 02:04:00,51.17,207.37,30.83,103.87,9.81,4.7,98.47,97.94,25.16,59.76,0.4,1.46,OK,Não,Não,OK
2025-08-07 02:05:00,54.38,197.19,28.0,104.77,9.92,5.33,98.71,97.54,21.59,61.88,0.53,1.51,OK,Não,Não,OK
2025-08-07 02:06:00,48.02,200.67,30.73,105.57,9.91,4.85,99.18,99.02,26.83,62.48,0.42,1.52,OK,Não,Não,OK
2025-08-07 02:07:00,48.87,205.16,27.68,106.39,10.01,4.83,98.41,98.19,24.1,61.59,0.52,1.43,OK,Não,Não,OK
2025-08-07 02:08:00,50.2,184.37,31.62,107.22,10.05,4.55,96.62,98.05,25.1,58.33,0.74,1.63,OK,Não,Não,OK
2025-08-07 02:09:00,48.99,194.71,29.29,108.04,10.15,4.93,97.53,98.78,25.56,59.82,0.48,1.3,OK,Não,Não,OK
2025-08-07 02:10:00,46.9,207.94,29.86,108.82,9.95,4.95,100.0,97.62,22.77,60.95,0.38,1.57,OK,Não,Não,OK
2025-08-07 02:11:00,50.14,187.46,31.99,109.66,9.95,5.14,98.72,99.57,24.57,60.5,0.35,1.38,OK,Não,Não,OK
2025-08-07 02:12:00,47.88,202.94,28.07,110.46,10.11,4.72,100.0,97.21,26.98,58.51,0.53,1.48,OK,Não,Não,OK
2025-08-07 02:13:00,50.95,186.43,27.9,111.3,10.03,4.7,99.4,98.66,26.63,59.43,0.7,1.34,OK,Não,Não,OK
2025-08-07 02:14:00,48.16,204.66,29.12,112.11,10.13,5.09,98.24,99.43,24.56,60.7,0.41,1.37,OK,Não,Não,OK
2025-08-07 02:15:00,53.1,199.64,31.56,112.99,10.03,5.2,98.3,96.62,26.07,56.98,0.28,1.49,OK,Não,Não,OK
2025-08-07 02:16:00,48.43,183.85,27.72,113.8,9.88,4.69,97.96,97.66,26.27,60.04,0.67,1.51,OK,Não,Não,OK
2025-08-07 02:17:00,49.36,211.65,25.75,114.62,9.87,5.22,96.26,99.14,26.19,61.39,0.75,1.61,OK,Não,Não,OK
2025-08-07 02:18:00,51.63,192.65,29.32,115.48,9.84,5.01,98.02,99.16,23.28,60.57,0.58,1.46,OK,Não,Não,OK
2025-08-07 02:19:00,47.54,191.9,30.83,116.27,10.07,5.22,99.21,97.83,27.46,58.29,0.54,1.56,OK,Não,Não,OK
2025-08-07 02:20:00,50.45,202.01,31.8,117.12,10.12,4.99,97.4,97.27,24.3,58.64,0.51,1.5,OK,Não,Não,OK
2025-08-07 02:21:00,52.61,211.49,29.31,117.99,10.18,4.5,98.41,98.96,25.16,62.97,0.57,1.56,OK,Não,Não,OK
2025-08-07 02:22:00,46.79,189.84,29.38,118.77,10.08,4.97,98.85,99.18,24.47,58.12,0.56,1.39,OK,Não,Não,OK
2025-08-07 02:23:00,50.37,200.62,31.73,119.61,10.12,5.21,97.09,96.84,25.34,62.37,0.53,1.51,OK,Não,Não,OK
2025-08-07 02:24:00,50.52,204.29,27.2,120.45,9.94,4.82,97.55,96.8,23.7,58.76,0.4,1.54,OK,Não,Não,OK
2025-08-07 02:25:00,51.56,206.93,29.42,121.31,9.88,4.92,96.98,98.23,24.66,62.26,0.53,1.45,OK,Não,Não,OK
2025-08-07 02:26:00,47.53,201.76,30.29,122.11,10.09,4.96,97.18,98.63,25.27,61.08,0.49,1.54,OK,Não,Não,OK
2025-08-07 02:27:00,47.36,196.33,30.67,122.89,10.04,4.42,96.71,97.7,26.84,59.3,0.42,1.55,OK,Não,Não,OK
2025-08-07 02:28:00,51.04,191.72,29.24,123.75,10.01,5.33,97.1,98.68,26.66,56.47,0.53,1.45,OK,Não,Não,OK
2025-08-07 02:29:00,50.59,200.86,30.05,124.59,10.04,4.82,99.42,97.29,26.73,60.8,0.45,1.58,OK,Não,Não,OK
2025-08-07 02:30:00,50.5,189.28,26.27,125.43,10.03,5.1,97.08,95.89,26.3,60.36,0.51,1.27,OK,Não,Não,OK
2025-08-07 02:31:00,50.69,170.79,29.01,126.27,10.13,4.98,98.13,97.58,27.77,60.83,0.55,1.31,OK,Não,Não,OK
2025-08-07 02:32:00,48.64,204.37,30.68,127.09,10.13,5.25,97.5,98.06,24.56,61.08,0.56,1.4,OK,Não,Não,OK
2025-08-07 02:33:00,50.46,209.04,28.53,127.93,10.05,5.08,99.18,97.72,24.76,57.37,0.45,1.53,OK,Não,Não,OK
2025-08-07 02:34:00,50.59,176.37,30.09,128.77,10.08,4.95,99.31,96.84,24.7,60.79,0.55,1.42,OK,Não,Não,OK
2025-08-07 02:35:00,48.57,189.9,30.67,129.58,10.05,4.82,98.86,96.18,24.91,61.49,0.57,1.37,OK,Não,Não,OK
2025-08-07 02:36:00,53.73,206.19,29.49,130.47,9.95,5.16,98.31,97.49,22.85,61.46,0.6,1.49,OK,Não,Não,OK
2025-08-07 02:37:00,50.95,220.57,30.26,131.32,10.08,4.63,97.77,98.9,25.4,57.49,0.53,1.51,OK,Não,Não,OK
2025-08-07 02:38:00,47.62,200.21,28.56,132.12,9.86,5.13,96.81,99.26,25.74,62.31,0.56,1.44,OK,Não,Não,OK
2025-08-07 02:39:00,51.31,192.72,29.69,132.97,10.11,4.78,99.94,99.19,24.61,60.86,0.46,1.38,OK,Não,Não,OK
2025-08-07 02:40:00,48.05,198.17,30.92,133.77,9.88,5.25,97.24,97.18,22.36,61.11,0.76,1.5,OK,Não,Não,OK
2025-08-07 02:41:00,51.57,213.75,30.24,134.63,10.03,5.03,98.66,96.85,25.03,58.21,0.49,1.58,OK,Não,Não,OK
2025-08-07 02:42:00,52.32,193.54,29.12,135.5,9.92,5.13,99.06,98.5,23.06,61.51,0.61,1.38,OK,Não,Não,OK
2025-08-07 02:43:00,48.36,192.01,30.34,136.31,10.06,5.02,97.44,98.64,25.64,56.55,0.45,1.66,Falha,Não,Não,Alerta: Falha de Sensor
2025-08-07 02:44:00,51.93,195.17,31.07,137.18,10.0,4.65,99.04,98.4,25.18,58.3,0.54,1.44,OK,Não,Não,OK
2025-08-07 02:45:00,50.83,190.47,26.93,138.02,9.84,4.83,98.76,95.99,25.33,62.53,0.53,1.44,OK,Não,Não,OK
2025-08-07 02:46:00,51.64,201.23,31.74,138.88,10.04,5.13,99.73,97.13,23.41,61.42,0.55,1.51,OK,Não,Não,OK
2025-08-07 02:47:00,53.79,216.25,29.5,139.78,9.94,5.03,97.53,97.97,26.89,60.58,0.42,1.51,OK,Não,Não,OK
2025-08-07 02:48:00,49.51,203.23,30.64,140.61,10.09,5.24,96.71,98.49,25.26,61.89,0.54,1.28,OK,Não,Não,OK
2025-08-07 02:49:00,48.49,197.48,31.8,141.41,10.0,5.08,97.49,98.77,23.63,62.03,0.45,1.49,OK,Não,Não,OK
2025-08-07 02:50:00,48.22,197.08,27.94,142.22,10.04,4.81,98.21,98.14,25.87,61.52,0.58,1.56,OK,Não,Não,OK
2025-08-07 02:51:00,48.37,184.37,28.94,143.02,9.9,4.84,98.06,98.33,25.15,59.57,0.41,1.6,OK,Não,Não,OK
2025-08-07 02:52:00,49.85,208.83,29.57,143.85,9.94,5.02,97.61,98.08,27.76,58.24,0.53,1.49,OK,Não,Não,OK
2025-08-07 02:53:00,50.68,199.22,28.82,144.7,9.95,4.54,96.09,98.69,24.17,58.67,0.5,1.46,OK,Não,Não,OK
2025-08-07 02:54:00,50.55,198.2,32.6,145.54,10.09,5.33,98.47,98.31,23.13,62.82,0.69,1.57,OK,Não,Não,OK
2025-08-07 02:55:00,51.65,231.93,28.71,146.4,10.17,5.09,99.97,98.07,25.43,57.45,0.61,1.68,OK,Não,Não,OK
2025-08-07 02:56:00,50.03,202.99,29.17,147.24,9.92,5.25,98.46,97.73,26.52,60.98,0.64,1.51,OK,Não,Não,OK
2025-08-07 02:57:00,52.91,192.48,30.31,148.12,10.11,4.68,98.61,98.08,28.48,60.98,0.42,1.48,OK,Não,Não,OK
2025-08-07 02:58:00,49.47,195.74,28.2,148.94,9.78,5.25,98.57,98.48,30.13,62.94,0.46,1.63,OK,Não,Não,OK
2025-08-07 02:59:00,55.44,211.48,29.41,149.87,9.88,5.45,98.4,98.27,22.67,60.98,0.5,1.39,OK,Não,Não,OK
2025-08-07 03:00:00,51.25,201.13,30.48,150.72,9.9,4.74,98.93,98.38,24.8,59.15,0.61,1.51,OK,Não,Não,OK
2025-08-07 03:01:00,48.29,185.62,29.5,151.53,9.86,5.15,98.4,99.34,23.13,59.19,0.54,1.74,OK,Não,Não,OK
2025-08-07 03:02:00,47.86,209.19,29.86,152.32,9.84,5.0,97.69,98.27,24.63,59.99,0.43,1.55,OK,Não,Não,OK
2025-08-07 03:03:00,50.96,193.32,29.21,153.17,10.04,4.69,97.2,97.35,28.72,62.27,0.43,1.58,OK,Não,Não,OK
2025-08-07 03:04:00,49.55,218.73,27.73,154.0,9.98,5.1,97.75,98.88,23.77,61.61,0.62,1.47,OK,Não,Não,OK
